TimeIndex;Year;Quarter;TouristNumber;Total_Income;Ind_Expenditure;Food_Beverage;Accommodation;Health;Clothes;Carpet_Rug;GSM_Expenditure;Souvenirs
2019_3;2019;3;18351706;14031122;9887256;2662983;1399854;255646;1450096;44246;30215;497174
2019_4;2019;4;8630074;7885568;5804853;1693094;782591;271601;922595;23664;23822;302221
2020_1;2020;1;4278644;4101206;3564760;962536;486420;187955;574630;10966;12673;165580
2020_2;2020;2;268244;;;;;;;;;
2020_3;2020;3;4951110;4044356;3097691;901759;348801;153640;432430;9350;20050;136004
2020_4;2020;4;3275624;3913758;3335869;951476;420460;207287;533446;4904;14692;178931
2021_1;2021;1;1953086;2452213;2296854;635254;268317;196734;365465;5437;7363;129545
2021_2;2021;2;3774565;3003628;2436913;622763;293665;196954;404532;9906;8227;114247
2021_3;2021;3;11856573;11395117;9063042;2503964;1225426;310574;1414617;23753;30032;479547
2021_4;2021;4;7128042;7631374;5883106;1598005;781456;344288;965128;22604;29806;328830
